Index,Verse,Text
194,Matthew 11:19,"
The Son of Man came eating and drinking, and they say, ‘Behold, a gluttonous man and a drunkard, a friend of tax collectors and sinners!’ But wisdom is justified by her children.”
"
195,Matthew 11:21,"
“Woe to you, Chorazin! Woe to you, Bethsaida! For if the mighty works had been done in Tyre and Sidon which were done in you, they would have repented long ago in sackcloth and ashes.

"
196,Matthew 11:22,"
But I tell you, it will be more tolerable for Tyre and Sidon on the day of judgment than for you.

"
197,Matthew 11:23,"
You, Capernaum, who are exalted to heaven, you will go down to Hades.

For if the mighty works had been done in Sodom which were done in you, it would have remained until today.

"
198,Matthew 11:24,"
But I tell you that it will be more tolerable for the land of Sodom, on the day of judgment, than for you.”
"
199,Matthew 11:25,"At that time, Jesus answered,
“I thank you, Father, Lord of heaven and earth, that you hid these things from the wise and understanding, and revealed them to infants.

"
200,Matthew 11:26,"
Yes, Father, for so it was well-pleasing in your sight.

"
201,Matthew 11:27,"
All things have been delivered to me by my Father. No one knows the Son, except the Father; neither does anyone know the Father, except the Son, and he to whom the Son desires to reveal him.
"
202,Matthew 11:28,"
“Come to me, all you who labor and are heavily burdened, and I will give you rest.

"
203,Matthew 11:29,"
Take my yoke upon you, and learn from me, for I am gentle and humble in heart; and you will find rest for your souls.

"
204,Matthew 11:30,"
For my yoke is easy, and my burden is light.”
"
205,Matthew 12:3,"But he said to them,
“Haven’t you read what David did, when he was hungry, and those who were with him;

"
206,Matthew 12:4,"
how he entered into God’s house, and ate the show bread, which was not lawful for him to eat, neither for those who were with him, but only for the priests?
"
207,Matthew 12:5,"
Or have you not read in the law, that on the Sabbath day, the priests in the temple profane the Sabbath, and are guiltless?

"
208,Matthew 12:6,"
But I tell you that one greater than the temple is here.

"
209,Matthew 12:7,"
But if you had known what this means, ‘I desire mercy, and not sacrifice,’
you wouldn’t have condemned the guiltless.

"
210,Matthew 12:8,"
For the Son of Man is Lord of the Sabbath.”
"
211,Matthew 12:11,"He said to them,
“What man is there among you, who has one sheep, and if this one falls into a pit on the Sabbath day, won’t he grab on to it, and lift it out?

"
212,Matthew 12:12,"
Of how much more value then is a man than a sheep! Therefore it is lawful to do good on the Sabbath day.”
"
213,Matthew 12:13,"Then he told the man,
“Stretch out your hand.” He stretched it out; and it was restored whole, just like the other.
"
214,Matthew 12:25,"Knowing their thoughts, Jesus said to them,
“Every kingdom divided against itself is brought to desolation, and every city or house divided against itself will not stand.

"
215,Matthew 12:26,"
If Satan casts out Satan, he is divided against himself. How then will his kingdom stand?

"
216,Matthew 12:27,"
If I by Beelzebul cast out demons, by whom do your children cast them out? Therefore they will be your judges.

"
217,Matthew 12:28,"
But if I by the Spirit of God cast out demons, then God’s Kingdom has come upon you.

"
218,Matthew 12:29,"
Or how can one enter into the house of the strong man, and plunder his goods, unless he first bind the strong man? Then he will plunder his house.
"
219,Matthew 12:30,"
“He who is not with me is against me, and he who doesn’t gather with me, scatters.

"
220,Matthew 12:31,"
Therefore I tell you, every sin and blasphemy will be forgiven men, but the blasphemy against the Spirit will not be forgiven men.

"
221,Matthew 12:32,"
Whoever speaks a word against the Son of Man, it will be forgiven him; but whoever speaks against the Holy Spirit, it will not be forgiven him, neither in this age, nor in that which is to come.
"
222,Matthew 12:33,"
“Either make the tree good, and its fruit good, or make the tree corrupt, and its fruit corrupt; for the tree is known by its fruit.

"
223,Matthew 12:34,"
You offspring of vipers, how can you, being evil, speak good things? For out of the abundance of the heart, the mouth speaks.

"
224,Matthew 12:35,"
The good man out of his good treasure brings out good things, and the evil man out of his evil treasure
brings out evil things.

"
225,Matthew 12:36,"
I tell you that every idle word that men speak, they will give account of it in the day of judgment.

"
226,Matthew 12:37,"
For by your words you will be justified, and by your words you will be condemned.”
"
227,Matthew 12:39,"But he answered them,
“An evil and adulterous generation seeks after a sign, but no sign will be given to it but the sign of Jonah the prophet.

"
228,Matthew 12:40,"
For as Jonah was three days and three nights in the belly of the whale, so will the Son of Man be three days and three nights in the heart of the earth.

"
229,Matthew 12:41,"
The men of Nineveh will stand up in the judgment with this generation, and will condemn it, for they repented at the preaching of Jonah; and behold, someone greater than Jonah is here.

"
230,Matthew 12:42,"
The queen of the south will rise up in the judgment with this generation, and will condemn it, for she came from the ends of the earth to hear the wisdom of Solomon; and behold, someone greater than Solomon is here.

"
231,Matthew 12:43,"
When an unclean spirit has gone out of a man, he passes through waterless places, seeking rest, and doesn’t find it.

"
232,Matthew 12:44,"
Then he says, ‘I will return into my house from which I came out,’ and when he has come back, he finds it empty, swept, and put in order.

"
233,Matthew 12:45,"
Then he goes, and takes with himself seven other spirits more evil than he is, and they enter in and dwell there. The last state of that man becomes worse than the first. Even so will it be also to this evil generation.”
"
234,Matthew 12:48,"But he answered him who spoke to him,
“Who is my mother? Who are my brothers?”
"
235,Matthew 12:49,"He stretched out his hand towards his disciples, and said,
“Behold, my mother and my brothers!

"
236,Matthew 12:50,"
For whoever does the will of my Father who is in heaven, he is my brother, and sister, and mother.”
"
237,Matthew 13:3,"He spoke to them many things in parables, saying,
“Behold, a farmer went out to sow.

"
238,Matthew 13:4,"
As he sowed, some seeds fell by the roadside, and the birds came and devoured them.

"
239,Matthew 13:5,"
Others fell on rocky ground, where they didn’t have much soil, and immediately they sprang up, because they had no depth of earth.

"
240,Matthew 13:6,"
When the sun had risen, they were scorched. Because they had no root, they withered away.

"
241,Matthew 13:7,"
Others fell among thorns. The thorns grew up and choked them.

"
242,Matthew 13:8,"
Others fell on good soil, and yielded fruit: some one hundred times as much, some sixty, and some thirty.

"
243,Matthew 13:9,"
He who has ears to hear, let him hear.”
"
244,Matthew 13:11,"He answered them,
“To you it is given to know the mysteries of the Kingdom of Heaven, but it is not given to them.

"
245,Matthew 13:12,"
For whoever has, to him will be given, and he will have abundance, but whoever doesn’t have, from him will be taken away even that which he has.

"
246,Matthew 13:13,"
Therefore I speak to them in parables, because seeing they don’t see, and hearing, they don’t hear, neither do they understand.

"
247,Matthew 13:14,"
In them the prophecy of Isaiah is fulfilled, which says,

‘By hearing you will hear,
and will in no way understand;
Seeing you will see,
and will in no way perceive:
"
248,Matthew 13:15,"
for this people’s heart has grown callous,
their ears are dull of hearing,
they have closed their eyes;
or else perhaps they might perceive with their eyes,
hear with their ears,
understand with their heart,
and would turn again;
and I would heal them.’
"
249,Matthew 13:16,"
“But blessed are your eyes, for they see; and your ears, for they hear.

"
250,Matthew 13:17,"
For most certainly I tell you that many prophets and righteous men desired to see the things which you see, and didn’t see them; and to hear the things which you hear, and didn’t hear them.
"
251,Matthew 13:18,"
“Hear, then, the parable of the farmer.

"
